,Train accuracy,Test accs,structure,Epoch
0,9.845653747137892,9.033703071672356,"[1600, 256, 256, 128, 128, 56, 35]",0
1,48.16172545111578,33.628412969283275,"[1600, 256, 256, 128, 128, 56, 35]",10
2,63.367382045532736,38.6518771331058,"[1600, 256, 256, 128, 128, 56, 35]",20
3,71.97446939768184,41.7768771331058,"[1600, 256, 256, 128, 128, 56, 35]",30
4,76.28928355340427,42.854095563139936,"[1600, 256, 256, 128, 128, 56, 35]",40
5,79.88041427910453,43.579351535836174,"[1600, 256, 256, 128, 128, 56, 35]",50
6,82.81311172011246,44.3259385665529,"[1600, 256, 256, 128, 128, 56, 35]",60
7,83.97456430698413,45.21117747440273,"[1600, 256, 256, 128, 128, 56, 35]",70
8,86.34255139931902,45.73378839590443,"[1600, 256, 256, 128, 128, 56, 35]",80
9,87.29757625369257,45.88310580204778,"[1600, 256, 256, 128, 128, 56, 35]",90
10,87.26198526533082,45.104522184300336,"[1600, 256, 256, 128, 128, 56, 35]",100
